FSM,CoverageStrategy,ReductionStrategy,PrioritizationStrategy,SuiteSize,TotalSteps,PreReductionTotalSteps,ReductionRatio,ExecutionTimeSavings,StateCoverage,TransitionCoverage,MutationScore,KilledMutants,TotalMutants,APFD,GenerationTimeMs,MS_TransitionTargetMutation,MS_OutputMutation,MS_TransitionRemoval,MS_TransitionAddition,MS_InputMutation,MS_InitialStateMutation
Synthetic50FSM,StateCoverage,DuplicateRemoval,CoverageBasedPrioritization,49,135,135,0.0000,0.0000,1.0000,0.2450,0.1232,1361,11049,0.8725,10.32,0.1015,0.2450,0.2450,,0.2833,1.0000
Synthetic50FSM,StateCoverage,DuplicateRemoval,WeightedTransitionPrioritization,49,135,135,0.0000,0.0000,1.0000,0.2450,0.1232,1361,11049,0.8737,3.24,0.1015,0.2450,0.2450,,0.2833,1.0000
Synthetic50FSM,StateCoverage,CoveragePreservingReduction,CoverageBasedPrioritization,25,84,135,0.4898,0.3778,1.0000,0.2450,0.1232,1361,11049,0.7501,1.02,0.1015,0.2450,0.2450,,0.2833,1.0000
Synthetic50FSM,StateCoverage,CoveragePreservingReduction,WeightedTransitionPrioritization,25,84,135,0.4898,0.3778,1.0000,0.2450,0.1232,1361,11049,0.7486,0.84,0.1015,0.2450,0.2450,,0.2833,1.0000
Synthetic50FSM,StateCoverage,SimilarityReduction,CoverageBasedPrioritization,22,74,135,0.5510,0.4519,0.9000,0.2200,0.1125,1243,11049,0.7415,4.20,0.0928,0.2200,0.2200,,0.2550,1.0000
Synthetic50FSM,StateCoverage,SimilarityReduction,WeightedTransitionPrioritization,22,74,135,0.5510,0.4519,0.9000,0.2200,0.1125,1243,11049,0.7397,1.03,0.0928,0.2200,0.2200,,0.2550,1.0000
Synthetic50FSM,StateCoverage,MutationScorePreserving,CoverageBasedPrioritization,49,135,135,0.0000,0.0000,1.0000,0.2450,0.1232,1361,11049,0.8777,1471.67,0.1015,0.2450,0.2450,,0.2833,1.0000
Synthetic50FSM,StateCoverage,MutationScorePreserving,WeightedTransitionPrioritization,49,135,135,0.0000,0.0000,1.0000,0.2450,0.1232,1361,11049,0.8763,1630.48,0.1015,0.2450,0.2450,,0.2833,1.0000
Synthetic50FSM,TransitionCoverage,DuplicateRemoval,CoverageBasedPrioritization,200,740,740,0.0000,0.0000,1.0000,1.0000,0.3289,3634,11049,0.8265,6.56,0.2434,1.0000,1.0000,,1.0000,1.0000
Synthetic50FSM,TransitionCoverage,DuplicateRemoval,WeightedTransitionPrioritization,200,740,740,0.0000,0.0000,1.0000,1.0000,0.3289,3634,11049,0.8266,7.78,0.2434,1.0000,1.0000,,1.0000,1.0000
Synthetic50FSM,TransitionCoverage,CoveragePreservingReduction,CoverageBasedPrioritization,151,605,740,0.2450,0.1824,1.0000,1.0000,0.3289,3634,11049,0.7702,9.24,0.2434,1.0000,1.0000,,1.0000,1.0000
Synthetic50FSM,TransitionCoverage,CoveragePreservingReduction,WeightedTransitionPrioritization,151,605,740,0.2450,0.1824,1.0000,1.0000,0.3289,3634,11049,0.7703,10.85,0.2434,1.0000,1.0000,,1.0000,1.0000
Synthetic50FSM,TransitionCoverage,SimilarityReduction,CoverageBasedPrioritization,86,348,740,0.5700,0.5297,1.0000,0.6750,0.2895,3199,11049,0.7729,15.73,0.2341,0.6750,0.6750,,0.7517,1.0000
Synthetic50FSM,TransitionCoverage,SimilarityReduction,WeightedTransitionPrioritization,86,348,740,0.5700,0.5297,1.0000,0.6750,0.2895,3199,11049,0.7625,11.92,0.2341,0.6750,0.6750,,0.7517,1.0000
Synthetic50FSM,TransitionCoverage,MutationScorePreserving,CoverageBasedPrioritization,200,740,740,0.0000,0.0000,1.0000,1.0000,0.3289,3634,11049,0.8444,2150.00,0.2434,1.0000,1.0000,,1.0000,1.0000
Synthetic50FSM,TransitionCoverage,MutationScorePreserving,WeightedTransitionPrioritization,200,740,740,0.0000,0.0000,1.0000,1.0000,0.3289,3634,11049,0.8443,2110.61,0.2434,1.0000,1.0000,,1.0000,1.0000
Synthetic50FSM,TransitionPairCoverage,DuplicateRemoval,CoverageBasedPrioritization,712,3447,3447,0.0000,0.0000,1.0000,1.0000,0.9912,10952,11049,0.6992,117.76,0.9901,1.0000,1.0000,,1.0000,1.0000
Synthetic50FSM,TransitionPairCoverage,DuplicateRemoval,WeightedTransitionPrioritization,712,3447,3447,0.0000,0.0000,1.0000,1.0000,0.9912,10952,11049,0.7129,109.48,0.9901,1.0000,1.0000,,1.0000,1.0000
Synthetic50FSM,TransitionPairCoverage,CoveragePreservingReduction,CoverageBasedPrioritization,88,443,3447,0.8764,0.8715,1.0000,1.0000,0.5462,6035,11049,0.6969,41.45,0.4884,1.0000,1.0000,,1.0000,1.0000
Synthetic50FSM,TransitionPairCoverage,CoveragePreservingReduction,WeightedTransitionPrioritization,88,443,3447,0.8764,0.8715,1.0000,1.0000,0.5462,6035,11049,0.6981,41.50,0.4884,1.0000,1.0000,,1.0000,1.0000
Synthetic50FSM,TransitionPairCoverage,SimilarityReduction,CoverageBasedPrioritization,56,286,3447,0.9213,0.9170,1.0000,0.7500,0.4396,4857,11049,0.6948,42.61,0.3949,0.7500,0.7500,,0.8133,1.0000
Synthetic50FSM,TransitionPairCoverage,SimilarityReduction,WeightedTransitionPrioritization,56,286,3447,0.9213,0.9170,1.0000,0.7500,0.4396,4857,11049,0.6890,43.13,0.3949,0.7500,0.7500,,0.8133,1.0000
Synthetic50FSM,TransitionPairCoverage,MutationScorePreserving,CoverageBasedPrioritization,626,3012,3447,0.1208,0.1262,1.0000,1.0000,0.9912,10952,11049,0.7398,5018.13,0.9901,1.0000,1.0000,,1.0000,1.0000
Synthetic50FSM,TransitionPairCoverage,MutationScorePreserving,WeightedTransitionPrioritization,626,3012,3447,0.1208,0.1262,1.0000,1.0000,0.9912,10952,11049,0.7354,5080.31,0.9901,1.0000,1.0000,,1.0000,1.0000
Synthetic50FSM,SequenceCoverage(maxLen=3),DuplicateRemoval,CoverageBasedPrioritization,64,192,192,0.0000,0.0000,0.8200,0.3600,0.1313,1451,11049,0.7429,1.70,0.0990,0.3600,0.3600,,0.3600,1.0000
Synthetic50FSM,SequenceCoverage(maxLen=3),DuplicateRemoval,WeightedTransitionPrioritization,64,192,192,0.0000,0.0000,0.8200,0.3600,0.1313,1451,11049,0.6906,0.93,0.0990,0.3600,0.3600,,0.3600,1.0000
Synthetic50FSM,SequenceCoverage(maxLen=3),CoveragePreservingReduction,CoverageBasedPrioritization,53,159,192,0.1719,0.1719,0.8200,0.3600,0.1272,1405,11049,0.7146,1.81,0.0943,0.3600,0.3600,,0.3600,1.0000
Synthetic50FSM,SequenceCoverage(maxLen=3),CoveragePreservingReduction,WeightedTransitionPrioritization,53,159,192,0.1719,0.1719,0.8200,0.3600,0.1272,1405,11049,0.7172,1.11,0.0943,0.3600,0.3600,,0.3600,1.0000
